Date,Employed_Person_FT_SA,Employed_Person_PT_SA,Employed_Person_SA,Unemployed_Person_SA,Unemployed_Rate_SA,Unemployed_Rate_M_SA,Unemployed_Rate_F_SA,Participation_Rate_SA,Employment_Population_Ratio_SA,Employment_Population_Ratio_M_SA,Employment_Population_Ratio_F_SA,NILF,Underemployed_SA,Underemployed_Ratio_SA,Underemployed_Ratio_M_SA,Underemployed_Ratio_F_SA,Under_utilized_rate_SA
Feb-1978,5079.6,918.1,5997.7,426.9,6.6,5.6,8.5,61.2,57.2,75,39.8,4020.9,163.9,2.7,1.8,4.4,9.2
Mar-1978,5095.4,907.8,6003.2,403.9,6.3,5.3,8.1,61,57.1,75,39.8,4043.2,155.7,2.6,1.7,4.2,8.7
Apr-1978,5119.6,911.2,6030.9,403.3,6.3,5.4,7.9,61.2,57.3,75,40.2,4061.1,166.6,2.8,1.7,4.6,8.9
May-1978,5119,914.3,6033.4,399.5,6.2,5.2,7.9,61.1,57.3,74.8,40.2,4094,168.4,2.8,1.7,4.8,8.8
Jun-1978,5104.1,929.7,6033.8,406,6.3,5.5,7.7,61.1,57.2,74.7,40.2,4118.5,171.6,2.8,1.7,4.9,9
Jul-1978,5096.6,933.9,6030.5,400.2,6.2,5.4,7.7,60.9,57.1,74.4,40.3,4138.7,176.1,2.9,1.9,4.8,9
Aug-1978,5098.2,938.1,6036.4,419,6.5,5.6,8,61.1,57.1,74.3,40.4,4166.8,175.8,2.9,1.9,4.8,9.2
Sep-1978,5105.9,923.8,6029.7,402.2,6.3,5.5,7.6,60.8,57,74.1,40.2,4175.3,170.8,2.8,1.9,4.5,8.9
Oct-1978,5107.7,928,6035.8,396.5,6.2,5.4,7.5,60.7,57,74.2,40.2,4182.1,167.9,2.8,1.9,4.3,8.8
Nov-1978,5103.8,924.4,6028.2,407.6,6.3,5.5,7.8,60.6,56.8,74.1,40,4206.3,162.2,2.7,1.8,4.3,8.9
Dec-1978,5112.8,940.5,6053.3,414.3,6.4,5.5,8.1,60.8,57,74.3,40.1,4059.1,161.1,2.7,1.9,4,8.9
Jan-1979,5122,930.5,6052.5,411.9,6.4,5.4,8,60.7,56.9,74.2,40,4222.5,165.3,2.7,1.8,4.4,8.9
Feb-1979,5129.6,934,6063.6,404.8,6.3,5.3,7.9,60.7,56.9,74.3,40,4151.9,170.8,2.8,1.9,4.5,8.9
Mar-1979,5124.5,931.4,6055.9,407.4,6.3,5.4,7.9,60.5,56.7,74.2,39.7,4155.3,162.8,2.7,1.8,4.3,8.8
Apr-1979,5121.3,943.5,6064.8,421.5,6.5,5.5,8.2,60.7,56.7,74.2,39.7,4183.8,184.9,3,2.2,4.6,9.3
May-1979,5118.8,951.7,6070.5,401.5,6.2,5.2,7.9,60.4,56.7,74.3,39.6,4230.8,178.2,2.9,2,4.7,9
Jun-1979,5153.1,946.3,6099.3,406.8,6.3,5.2,8.1,60.7,56.9,74.3,39.9,4235.6,178.5,2.9,2.1,4.4,9
Jul-1979,5148.5,949,6097.5,408.2,6.3,5.1,8.3,60.6,56.8,74.3,39.8,4245.4,177.5,2.9,2,4.5,9
Aug-1979,5167,947.9,6114.9,398.5,6.1,5,8.2,60.6,56.9,74.5,39.8,4294.6,173.9,2.8,1.9,4.6,8.8
Sep-1979,5162.1,955.1,6117.3,406.7,6.2,5,8.4,60.6,56.8,74.3,39.8,4208.7,174.7,2.9,1.8,4.7,8.9
Oct-1979,5186.1,965.9,6152,419.6,6.4,5,8.7,61,57.1,74.3,40.3,4225.8,176.1,2.9,1.9,4.6,9.1
Nov-1979,5207.8,972.7,6180.5,397.7,6,4.8,8.1,60.9,57.2,74.5,40.5,4245.2,183.9,3,1.9,4.8,8.8
Dec-1979,5211.5,972.5,6184,403.2,6.1,5,8.1,60.9,57.2,74.4,40.5,4128,190.1,3.1,2,4.9,9
Jan-1980,5217.5,987.3,6204.8,406.4,6.1,5.2,7.8,61.1,57.3,74.3,40.8,4274.5,190.1,3.1,2,4.9,9
Feb-1980,5242.6,979.3,6221.9,397.1,6,5,7.7,61,57.4,74.3,41,4188.4,188.3,3,2,4.9,8.8
Mar-1980,5253.3,980,6233.2,393.4,5.9,5,7.5,61,57.4,74.2,41.1,4166.7,193.4,3.1,1.9,5.1,8.9
Apr-1980,5260.8,985.5,6246.4,406.9,6.1,5.2,7.7,61.2,57.4,74.2,41.1,4242.8,190.1,3,2,4.8,9
May-1980,5303.8,964.4,6268.2,417.6,6.2,5.3,7.8,61.4,57.5,74.5,41.2,4202,189.1,3,2,4.9,9.1
Jun-1980,5282.9,992.5,6275.4,423.6,6.3,5.2,8.2,61.4,57.5,74.2,41.3,4230.5,195.8,3.1,2.1,4.9,9.2
Jul-1980,5294.6,1012,6306.6,408.1,6.1,5.1,7.7,61.5,57.7,74.3,41.6,4222.4,193.1,3.1,2,5,9
Aug-1980,5307.1,1008.6,6315.8,415.9,6.2,5.2,7.9,61.5,57.7,74.4,41.5,4264.9,200.8,3.2,2.1,5.1,9.2
Sep-1980,5296.1,1022,6318,413.5,6.1,5.1,7.9,61.4,57.6,74.3,41.5,4192,202.5,3.2,2.1,5.2,9.2
Oct-1980,5296.4,1010.5,6307,406.6,6.1,4.9,8,61.2,57.5,74.3,41.2,4278.5,197.5,3.1,1.9,5.2,9
Nov-1980,5298.1,1030.5,6328.6,393.3,5.9,4.7,7.8,61.1,57.5,74.4,41.2,4295.4,195.3,3.1,1.9,5.1,8.8
Dec-1980,5327.1,1024.5,6351.5,409.2,6.1,4.9,8,61.4,57.6,74.6,41.2,4156.8,188.6,3,1.9,4.9,8.8
Jan-1981,5340.3,1016.6,6356.9,399.8,5.9,4.9,7.6,61.2,57.6,74.5,41.2,4350.1,193.2,3,2,4.9,8.8
Feb-1981,5349.2,1023.7,6372.9,379.3,5.6,4.7,7.2,61.1,57.6,74.6,41.2,4272.8,189.9,3,1.8,5,8.4
Mar-1981,5340.5,1036.4,6376.9,388.8,5.7,4.7,7.5,61.1,57.6,74.6,41,4237.9,193.7,3,1.9,5.1,8.6
Apr-1981,5379.4,1024.7,6404.2,376.7,5.6,4.6,7.2,61.1,57.7,74.6,41.4,4287.8,188.2,2.9,1.8,5,8.3
